,Unnamed: 0,underlying,type,expiration,quotedate,strike,bid,ask,volume,bs,garch,gp
42,42,SPXW,put,2019-10-14,2019-10-02,2805.0,16.4,17.0,179,5.358790476605066,4.488121226353343,5.678205993157522
43,43,SPXW,put,2019-10-14,2019-10-02,2810.0,17.4,18.1,77,6.096675416284427,5.1946615272748655,5.988174881916445
44,44,SPXW,put,2019-10-14,2019-10-02,2815.0,18.5,19.3,173,6.912911148212345,5.373349355064879,6.644114676413366
45,45,SPXW,put,2019-10-14,2019-10-02,2820.0,19.7,20.5,46,7.812557560683103,5.462073050923691,8.164461467752604
46,46,SPXW,put,2019-10-14,2019-10-02,2825.0,20.9,21.7,150,8.800610925016485,5.928580282054533,9.288851381969764
47,47,SPXW,put,2019-10-14,2019-10-02,2830.0,22.2,23.0,2237,9.881957000813143,6.4307019249234445,9.7926721258051
48,48,SPXW,put,2019-10-14,2019-10-02,2835.0,23.5,24.4,8,11.061323271491917,8.476873219999096,10.816509149352916
49,49,SPXW,call,2019-10-14,2019-10-02,2840.0,67.3,71.3,1,61.58964066629051,58.19033255750608,60.51830464142309
50,50,SPXW,put,2019-10-14,2019-10-02,2840.0,24.9,25.8,427,12.343231095493708,9.229505112092129,12.008156206308804
51,51,SPXW,put,2019-10-14,2019-10-02,2845.0,26.0,27.6,14,13.73194859104649,9.34784366558504,13.524275360961695
52,52,SPXW,call,2019-10-14,2019-10-02,2850.0,60.3,64.3,8,54.48361628307771,51.58440859573094,53.86119081002045
53,53,SPXW,put,2019-10-14,2019-10-02,2850.0,27.6,29.2,739,15.231445084995585,10.57996630718689,14.623954668450535
54,54,SPXW,call,2019-10-14,2019-10-02,2855.0,56.8,61.1,19,51.10039995974057,48.653775987583906,51.78797596793859
55,55,SPXW,put,2019-10-14,2019-10-02,2855.0,29.2,30.8,29,16.84534794801573,11.9234220135661,16.76330296474978
56,56,SPXW,call,2019-10-14,2019-10-02,2860.0,53.7,55.6,16,47.83483543456282,42.93585692535968,47.18253742065391
57,57,SPXW,put,2019-10-14,2019-10-02,2860.0,30.8,32.4,37,18.576902609195827,12.964798963018257,17.519770322214242
58,58,SPXW,call,2019-10-14,2019-10-02,2865.0,50.5,52.4,11,44.68975013203181,43.55706865194096,42.765189743392696
59,59,SPXW,put,2019-10-14,2019-10-02,2865.0,32.6,34.1,248,20.42893649302232,15.69886289736111,20.211559610932454
60,60,SPXW,call,2019-10-14,2019-10-02,2870.0,47.3,49.2,5,41.66752200492283,39.93078124454849,40.6563620504054
61,61,SPXW,put,2019-10-14,2019-10-02,2870.0,34.4,36.1,120,22.40382755227074,16.177342709616767,22.540387215013777
62,62,SPXW,call,2019-10-14,2019-10-02,2875.0,44.2,46.0,5,38.770053249368175,32.381031648610346,37.86008188133298
63,63,SPXW,put,2019-10-14,2019-10-02,2875.0,36.2,37.7,107,24.50347798307393,18.884594491676786,24.155325144833025
64,64,SPXW,call,2019-10-14,2019-10-02,2880.0,41.2,43.0,3,35.99874968581685,30.946174876528517,36.4003808451501
65,65,SPXW,put,2019-10-14,2019-10-02,2880.0,38.2,39.6,619,26.72929360588,22.277755532330048,26.254992631763404
66,66,SPXW,call,2019-10-14,2019-10-02,2885.0,38.2,40.0,5,33.354506174617654,29.04116807681359,32.24817780983208
67,67,SPXW,put,2019-10-14,2019-10-02,2885.0,40.2,41.6,82,29.082169281038205,27.39992620699818,28.656304102038213
68,68,SPXW,call,2019-10-14,2019-10-02,2890.0,35.4,37.1,21,30.83769831092241,24.394949328048035,29.966625633764263
69,69,SPXW,put,2019-10-14,2019-10-02,2890.0,40.1,45.1,2168,31.562480603701037,27.304519537146497,31.20396840164824
70,70,SPXW,put,2019-10-14,2019-10-02,2895.0,41.9,47.4,62,34.170081993214126,32.50876400797582,33.90773177983323
71,71,SPXW,call,2019-10-14,2019-10-02,2900.0,29.9,31.5,10,26.185290495436902,22.168549790415405,25.648656048597616
72,72,SPXW,put,2019-10-14,2019-10-02,2900.0,44.5,49.8,1113,36.90431116093009,31.529647248197232,36.56790875661586
73,73,SPXW,call,2019-10-14,2019-10-02,2905.0,27.5,28.5,7,24.047859959286143,21.743853931887042,22.955950417763923
74,74,SPXW,put,2019-10-14,2019-10-02,2905.0,46.9,52.7,29,39.7639998111365,36.096064807232146,38.720050365746864
75,75,SPXW,call,2019-10-14,2019-10-02,2910.0,25.0,25.9,915,22.03423126806115,15.264557323525134,21.37471709138412
76,76,SPXW,put,2019-10-14,2019-10-02,2910.0,49.3,54.2,635,42.74749030626958,37.218034181367614,43.36101050341851
77,77,SPXW,call,2019-10-14,2019-10-02,2915.0,22.6,23.5,68,20.142279688443523,16.14733267073365,19.63415316788525
78,78,SPXW,put,2019-10-14,2019-10-02,2915.0,51.9,56.8,27,45.85265791300958,40.389379148274536,46.40971445411645
79,79,SPXW,call,2019-10-14,2019-10-02,2920.0,20.4,21.2,66,18.369440732412954,13.612581036044398,18.126222594186597
80,80,SPXW,put,2019-10-14,2019-10-02,2920.0,54.7,59.4,47,49.07693814333629,43.87228767765293,48.7092017450342
81,81,SPXW,call,2019-10-14,2019-10-02,2925.0,18.2,19.0,109,16.71274201932249,11.258245231829232,16.406924819003667
82,82,SPXW,put,2019-10-14,2019-10-02,2925.0,57.5,62.2,58,52.41735861660391,51.16089626360982,52.25660999062591
